종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"019990","에너토크","6920","-40","-0.57",,,,,"4287","1.61","50","0.72"
"011090","에넥스","613","3","0.49",,,,,"655","0.94","0","0.00"
"270660","에브리봇","20250","-450","-2.17","231","87.66",,,"5342","3.79","0","0.00"
"038680","에스넷","4520","85","1.92","1187","3.81","865","5.23","5419","0.83","120","2.65"
"137310","에스디바이오센서","9320","370","4.13",,,,,"23079","0.40","0","0.00"
"217480","에스디생명공학","499","0","0.00",,,,,"401","1.24","0","0.00"
"121890","에스디시스템","1894","116","6.52","208","9.11",,,"947","2.00","0","0.00"
"118000","에스메디","425","-1","-0.23",,,,,"688","0.62","0","0.00"
"304360","에스바이오메딕스","35650","-2050","-5.44",,,,,"611","58.35","0","0.00"
"389500","에스비비테크","17600","-410","-2.28",,,,,"1947","9.04","0","0.00"
"042110","에스씨디","1474","24","1.66","100","14.74",,,"2515","0.59","30","2.04"
"298060","에스씨엠생명과학","2485","-85","-3.31",,,,,"1001","2.48","0","0.00"
"065420","에스아이리소스","215","-6","-2.71",,,,,"137","1.57","0","0.00"
"103230","에스앤더블류","4335","-90","-2.03","482","8.99",,,"6310","0.69","0","0.00"
"260970","에스앤디","43950","3750","9.33","2925","15.03","4784","9.19","21830","2.01","500","1.14"
"101490","에스앤에스텍","34700","100","0.29","1234","28.12","1769","19.62","10499","3.31","150","0.43"
"095910","에스에너지","1905","57","3.08",,,,,"3269","0.58","0","0.00"
"275630","에스에스알","3430","50","1.48","293","11.71",,,"4952","0.69","0","0.00"
"031330","에스에이엠티","3370","-5","-0.15","336","10.03",,,"3850","0.88","200","5.93"
"060540","에스에이티","1940","-60","-3.00","62","31.29",,,"3831","0.51","50","2.58"
"351320","에스에이티이엔지","1715","89","5.47",,,,,"881","1.95","0","0.00"
"056190","에스에프에이","24900","-300","-1.19","1193","20.87","4626","5.38","31572","0.79","280","1.12"
"080000","에스엔유","2025","25","1.25","207","9.78",,,"4200","0.48","0","0.00"
"005850","에스엘","38250","-650","-1.67","7285","5.25","8614","4.44","41872","0.91","900","2.35"
"214310","에스엘에너지","306","0","0.00",,,,,"404","0.76","0","0.00"
"246250","에스엘에스바이오","3070","100","3.37","102","30.10",,,"878","3.50","50","1.63"
"041510","에스엠","71400","-1400","-1.92","3719","19.20","5139","13.89","30825","2.32","1200","1.68"
"010580","에스엠벡셀","1319","2","0.15","6","219.83",,,"599","2.20","0","0.00"
"007820","에스엠코어","4865","-5","-0.10",,,,,"2489","1.95","0","0.00"
"464080","에스오에스랩","7980","-40","-0.50","691","11.55",,,"1285","6.21","0","0.00"
"109610","에스와이","5000","-490","-8.93",,,,,"3597","1.39","0","0.00"
"365330","에스와이스틸텍","4210","-210","-4.75","444","9.48",,,"1510","2.79","50","1.19"
"012750","에스원","57800","-200","-0.34","5604","10.31","4915","11.76","47260","1.22","2700","4.67"
"031860","에스유홀딩스","1389","1","0.07",,,,,"4620","0.30","0","0.00"
"306040","에스제이그룹","6530","-50","-0.76","1348","4.84",,,"14010","0.47","250","3.83"
"033530","에스제이지세종","5050","-20","-0.39","149","33.89",,,"15243","0.33","150","2.97"
"457940","에스케이증권제10호스팩","2200","5","0.23",,,,,,,"0","0.00"
"472230","에스케이증권제11호스팩","2120","-5","-0.24",,,,,,,"0","0.00"
"473000","에스케이증권제12호스팩","2155","-5","-0.23",,,,,,,"0","0.00"
"435870","에스케이증권제8호스팩","2160","-5","-0.23",,,,,,,"0","0.00"
"455910","에스케이증권제9호스팩","2170","-25","-1.14",,,,,,,"0","0.00"
"096630","에스코넥","1219","4","0.33",,,,,"980","1.24","0","0.00"
"069510","에스텍","9770","50","0.51","2576","3.79",,,"18523","0.53","500","5.12"
"234300","에스트래픽","3750","15","0.40","626","5.99",,,"3446","1.09","40","1.07"
"039440","에스티아이","30000","750","2.56","1631","18.39","3967","7.56","16128","1.86","200","0.67"
"098660","에스티오","1908","-19","-0.99","166","11.49",,,"2492","0.77","110","5.77"
"052020","에스티큐브","4945","285","6.12",,,,,"759","6.52","0","0.00"
"237690","에스티팜","91700","3200","3.62","1041","88.09","2287","40.10","20445","4.49","500","0.55"
"050760","에스폴리텍","1582","-13","-0.82",,,,,"3885","0.41","0","0.00"
"288620","에스퓨얼셀","13370","140","1.06",,,,,"9921","1.35","50","0.37"
"443670","에스피소프트","10350","-960","-8.49","243","42.59",,,"1816","5.70","0","0.00"
"317830","에스피시스템스","7070","-10","-0.14",,,,,"5556","1.27","0","0.00"
"058610","에스피지","24800","50","0.20","496","50.00",,,"9871","2.51","200","0.81"
"043340","에쎈테크","604","-3","-0.49",,,,,"300","2.01","0","0.00"
"023960","에쓰씨엔지니어링","1392","-41","-2.86",,,,,"1206","1.15","0","0.00"
"298690","에어부산","2560","40","1.59","811","3.16",,,"1602","1.60","0","0.00"
"187660","에이디엠코리아","3095","-45","-1.43",,,,,"1191","2.60","0","0.00"
"054630","에이디칩스","158","0","0.00",,,,,"250","0.63","0","0.00"
"200710","에이디테크놀로지","23000","800","3.60",,,"684","33.62","11299","2.04","0","0.00"
"096690","에이루트","1665","17","1.03",,,,,"4895","0.34","0","0.00"
"078520","에이블씨엔씨","8700","200","2.35","236","36.86",,,"3371","2.58","1427","16.40"
"298380","에이비엘바이오","28700","0","0.00",,,,,"1547","18.55","0","0.00"
"203400","에이비온","8120","-20","-0.25",,,,,"453","17.92","0","0.00"
"195990","에이비프로바이오","480","-3","-0.62",,,,,"430","1.12","0","0.00"
"003800","에이스침대","25850","-300","-1.15","4871","5.31",,,"61828","0.42","1400","5.42"
"088800","에이스테크","1025","-19","-1.82",,,,,"315","3.25","0","0.00"
"241840","에이스토리","8060","-190","-2.30","529","15.24",,,"6723","1.20","0","0.00"
"453860","에이에스텍","32750","50","0.15","1551","21.12",,,"8305","3.94","0","0.00"
"312610","에이에프더블류","1866","6","0.32",,,,,"3107","0.60","0","0.00"
"015260","에이엔피","778","-10","-1.27",,,,,"714","1.09","0","0.00"
"172670","에이엘티","12370","-360","-2.83","635","19.48",,,"11953","1.03","100","0.81"
"445090","에이직랜드","44300","1700","3.99","469","94.46",,,"9158","4.84","0","0.00"
"295310","에이치브이엠","11120","110","1.00",,,,,"3216","3.46","0","0.00"
"072990","에이치시티","8960","180","2.05","852","10.52",,,"11428","0.78","0","0.00"
"239610","에이치엘사이언스","13820","-30","-0.22",,,,,"20110","0.69","0","0.00"
"462020","에이치엠씨제6호스팩","2110","5","0.24",,,,,,,"0","0.00"
"477340","에이치엠씨제7호스팩","2025","0","0.00",,,,,,,"0","0.00"
"148930","에이치와이티씨","5370","110","2.09","556","9.66",,,"6017","0.89","0","0.00"
"044780","에이치케이","1309","-5","-0.38","103","12.71",,,"3297","0.40","0","0.00"
"357230","에이치피오","3475","25","0.72","384","9.05","606","5.74","3440","1.01","100","2.88"
"355690","에이텀","10200","170","1.69",,,,,"495","20.61","0","0.00"
"071670","에이테크솔루션","8000","-70","-0.87","160","50.00",,,"8574","0.93","0","0.00"
"045660","에이텍","15590","-30","-0.19","618","25.23",,,"11830","1.32","200","1.28"
"224110","에이텍모빌리티","13940","-10","-0.07","1277","10.92",,,"12209","1.14","200","1.43"
"021080","에이티넘인베스트","2630","35","1.35","432","6.09",,,"3855","0.68","120","4.56"
"089530","에이티세미콘","600","0","0.00",,,,,"376","1.60","0","0.00"
"200470","에이팩트","5360","290","5.72",,,,,"2397","2.24","0","0.00"
"262260","에이프로","8980","120","1.35","868","10.35",,,"5037","1.78","200","2.23"
"007460","에이프로젠","1600","80","5.26",,,,,"606","2.64","0","0.00"
"003060","에이프로젠바이오로직스","1264","45","3.69",,,,,"4406","0.29","0","0.00"
"397030","에이프릴바이오","19170","-300","-1.54",,,"672","28.54","2677","7.16","0","0.00"
"244920","에이플러스에셋","4010","-5","-0.12","451","8.89","688","5.83","6651","0.60","200","4.99"
"278470","에이피알","294000","11000","3.89","11245","26.14","17368","16.93","27071","10.86","0","0.00"
"230240","에치에프알","13000","-80","-0.61","139","93.53",,,"13053","1.00","220","1.69"
"230360","에코마케팅","11100","-170","-1.51","1253","8.86","1457","7.62","6976","1.59","200","1.80"
"038870","에코바이오","4605","-25","-0.54","194","23.74",,,"6303","0.73","0","0.00"
"097780","에코볼트","1075","26","2.48","259","4.15",,,"4012","0.27","0","0.00"
"448280","에코아이","21250","200","0.95","1955","10.87",,,"13274","1.60","500","2.35"
"101360","에코앤드림","37400","-1100","-2.86",,,,,"8528","4.39","0","0.00"
"128540","에코캡","1835","-50","-2.65","80","22.94",,,"3461","0.53","0","0.00"
"086520","에코프로","92900","-500","-0.54","388","239.43",,,"12678","7.33","0","0.00"
"450080","에코프로머티","86100","-3200","-3.58","85","1012.94","437","196.82","11584","7.43","0","0.00"
"247540","에코프로비엠","178600","-400","-0.22",,,"1799","99.27","14043","12.72","0","0.00"
"383310","에코프로에이치엔","53700","-300","-0.56","2201","24.40",,,"7254","7.40","600","1.12"
"038110","에코플라스틱","3610","-35","-0.96","1281","2.82",,,"5393","0.67","60","1.66"
