종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"056190","에스에프에이","25000","-200","-0.79","1193","20.96","4626","5.40","31572","0.79","280","1.12"
"080000","에스엔유","2020","20","1.00","207","9.76",,,"4200","0.48","0","0.00"
"005850","에스엘","38400","-500","-1.29","7285","5.27","8614","4.46","41872","0.92","900","2.34"
"214310","에스엘에너지","306","0","0.00",,,,,"404","0.76","0","0.00"
"246250","에스엘에스바이오","3065","95","3.20","102","30.05",,,"878","3.49","50","1.63"
"041510","에스엠","71600","-1200","-1.65","3719","19.25","5139","13.93","30825","2.32","1200","1.68"
"010580","에스엠벡셀","1317","0","0.00","6","219.50",,,"599","2.20","0","0.00"
"007820","에스엠코어","4865","-5","-0.10",,,,,"2489","1.95","0","0.00"
"464080","에스오에스랩","8180","160","2.00","691","11.84",,,"1285","6.37","0","0.00"
"109610","에스와이","5060","-430","-7.83",,,,,"3597","1.41","0","0.00"
"365330","에스와이스틸텍","4090","-330","-7.47","444","9.21",,,"1510","2.71","50","1.22"
"012750","에스원","57800","-200","-0.34","5604","10.31","4915","11.76","47260","1.22","2700","4.67"
"031860","에스유홀딩스","1410","22","1.59",,,,,"4620","0.31","0","0.00"
"306040","에스제이그룹","6520","-60","-0.91","1348","4.84",,,"14010","0.47","250","3.83"
"033530","에스제이지세종","5070","0","0.00","149","34.03",,,"15243","0.33","150","2.96"
"457940","에스케이증권제10호스팩","2190","-5","-0.23",,,,,,,"0","0.00"
"472230","에스케이증권제11호스팩","2125","0","0.00",,,,,,,"0","0.00"
"473000","에스케이증권제12호스팩","2150","-10","-0.46",,,,,,,"0","0.00"
"435870","에스케이증권제8호스팩","2160","-5","-0.23",,,,,,,"0","0.00"
"455910","에스케이증권제9호스팩","2155","-40","-1.82",,,,,,,"0","0.00"
"096630","에스코넥","1221","6","0.49",,,,,"980","1.25","0","0.00"
"069510","에스텍","9640","-80","-0.82","2576","3.74",,,"18523","0.52","500","5.19"
"234300","에스트래픽","3745","10","0.27","626","5.98",,,"3446","1.09","40","1.07"
"039440","에스티아이","30200","950","3.25","1631","18.52","3967","7.61","16128","1.87","200","0.66"
"098660","에스티오","1909","-18","-0.93","166","11.50",,,"2492","0.77","110","5.76"
"052020","에스티큐브","4885","225","4.83",,,,,"759","6.44","0","0.00"
"237690","에스티팜","91800","3300","3.73","1041","88.18","2287","40.15","20445","4.49","500","0.54"
"050760","에스폴리텍","1586","-9","-0.56",,,,,"3885","0.41","0","0.00"
"288620","에스퓨얼셀","13370","140","1.06",,,,,"9921","1.35","50","0.37"
"443670","에스피소프트","10560","-750","-6.63","243","43.46",,,"1816","5.81","0","0.00"
"317830","에스피시스템스","7060","-20","-0.28",,,,,"5556","1.27","0","0.00"
"058610","에스피지","24900","150","0.61","496","50.20",,,"9871","2.52","200","0.80"
"043340","에쎈테크","600","-7","-1.15",,,,,"300","2.00","0","0.00"
"023960","에쓰씨엔지니어링","1428","-5","-0.35",,,,,"1206","1.18","0","0.00"
"298690","에어부산","2525","5","0.20","811","3.11",,,"1602","1.58","0","0.00"
"187660","에이디엠코리아","3120","-20","-0.64",,,,,"1191","2.62","0","0.00"
"054630","에이디칩스","158","0","0.00",,,,,"250","0.63","0","0.00"
"200710","에이디테크놀로지","23250","1050","4.73",,,"684","33.99","11299","2.06","0","0.00"
"096690","에이루트","1678","30","1.82",,,,,"4895","0.34","0","0.00"
"078520","에이블씨엔씨","8790","290","3.41","236","37.25",,,"3371","2.61","1427","16.23"
"298380","에이비엘바이오","28750","50","0.17",,,,,"1547","18.58","0","0.00"
"203400","에이비온","8070","-70","-0.86",,,,,"453","17.81","0","0.00"
"195990","에이비프로바이오","477","-6","-1.24",,,,,"430","1.11","0","0.00"
"003800","에이스침대","26000","-150","-0.57","4871","5.34",,,"61828","0.42","1400","5.38"
"088800","에이스테크","1030","-14","-1.34",,,,,"315","3.27","0","0.00"
"241840","에이스토리","8070","-180","-2.18","529","15.26",,,"6723","1.20","0","0.00"
"453860","에이에스텍","32600","-100","-0.31","1551","21.02",,,"8305","3.93","0","0.00"
"312610","에이에프더블류","1878","18","0.97",,,,,"3107","0.60","0","0.00"
"015260","에이엔피","770","-18","-2.28",,,,,"714","1.08","0","0.00"
"172670","에이엘티","12360","-370","-2.91","635","19.46",,,"11953","1.03","100","0.81"
"445090","에이직랜드","44450","1850","4.34","469","94.78",,,"9158","4.85","0","0.00"
"295310","에이치브이엠","11240","230","2.09",,,,,"3216","3.50","0","0.00"
"072990","에이치시티","8900","120","1.37","852","10.45",,,"11428","0.78","0","0.00"
"239610","에이치엘사이언스","13830","-20","-0.14",,,,,"20110","0.69","0","0.00"
"462020","에이치엠씨제6호스팩","2100","-5","-0.24",,,,,,,"0","0.00"
"477340","에이치엠씨제7호스팩","2020","-5","-0.25",,,,,,,"0","0.00"
"148930","에이치와이티씨","5320","60","1.14","556","9.57",,,"6017","0.88","0","0.00"
"044780","에이치케이","1314","0","0.00","103","12.76",,,"3297","0.40","0","0.00"
"357230","에이치피오","3475","25","0.72","384","9.05","606","5.74","3440","1.01","100","2.88"
"355690","에이텀","10130","100","1.00",,,,,"495","20.46","0","0.00"
"071670","에이테크솔루션","7970","-100","-1.24","160","49.81",,,"8574","0.93","0","0.00"
"045660","에이텍","15580","-40","-0.26","618","25.21",,,"11830","1.32","200","1.28"
"224110","에이텍모빌리티","13950","0","0.00","1277","10.92",,,"12209","1.14","200","1.43"
"021080","에이티넘인베스트","2590","-5","-0.19","432","6.00",,,"3855","0.67","120","4.63"
"089530","에이티세미콘","600","0","0.00",,,,,"376","1.60","0","0.00"
"200470","에이팩트","5100","30","0.59",,,,,"2397","2.13","0","0.00"
"262260","에이프로","9030","170","1.92","868","10.40",,,"5037","1.79","200","2.21"
